Demt_6,Demt_5,Demt_4,Demt_3,Demt_2,Demt_1,Demt_0,Temp_6,Temp_5,Temp_4,Temp_3,Temp_2,Temp_1,Temp_0,Snmt_6,Snmt_5,Snmt_4,Snmt_3,Snmt_2,Snmt_1,Snmt_0,ETt_6,ETt_5,ETt_4,ETt_3,ETt_2,ETt_1,ETt_0,Rt_6,Rt_5,Rt_4,Rt_3,Rt_2,Rt_1,Rt_0,Wlt_6,Wlt_5,Wlt_4,Wlt_3,Wlt_2,Wlt_1,Wlt_0
134.4005219,205.5873048,212.4113727,60.02854394,0,0,0,20.73692308,25.01692308,27.15307692,20.10307692,12.16884615,3.151538462,-16.27769231,0,0,0,0.010338462,0,1.952246154,-0.0006,117.6488231,156.2265846,110.5795846,64.38062308,43.61267692,21.9119,3.583453846,181.7693538,56.11667692,37.60098462,51.23035385,41.21747692,88.00984615,15.50572308,151.2328571,155.9742857,161.9328571,157.7114286,154.2742857,153.0985714,152.71
205.5873048,212.4113727,60.02854394,0,0,0,0,25.01692308,27.15307692,20.10307692,12.16884615,3.151538462,-16.27769231,-7.960769231,0,0,0.010338462,0,1.952246154,-0.0006,1.925907692,156.2265846,110.5795846,64.38062308,43.61267692,21.9119,3.583453846,-0.075653846,56.11667692,37.60098462,51.23035385,41.21747692,88.00984615,15.50572308,5.156430769,155.9742857,161.9328571,157.7114286,154.2742857,153.0985714,152.71,152.15
212.4113727,60.02854394,0,0,0,0,0,27.15307692,20.10307692,12.16884615,3.151538462,-16.27769231,-7.960769231,-0.166923077,0,0.010338462,0,1.952246154,-0.0006,1.925907692,16.73848462,110.5795846,64.38062308,43.61267692,21.9119,3.583453846,-0.075653846,2.225599609,37.60098462,51.23035385,41.21747692,88.00984615,15.50572308,5.156430769,42.23704615,161.9328571,157.7114286,154.2742857,153.0985714,152.71,152.15,151.63
60.02854394,0,0,0,0,0,0,20.10307692,12.16884615,3.151538462,-16.27769231,-7.960769231,-0.166923077,-1.622653245,0.010338462,0,1.952246154,-0.0006,1.925907692,16.73848462,60.04843077,64.38062308,43.61267692,21.9119,3.583453846,-0.075653846,2.225599609,13.43790769,51.23035385,41.21747692,88.00984615,15.50572308,5.156430769,42.23704615,55.96504615,157.7114286,154.2742857,153.0985714,152.71,152.15,151.63,151.2671429
0,0,0,0,0,0,8.319248219,12.16884615,3.151538462,-16.27769231,-7.960769231,-0.166923077,-1.622653245,7.795039063,0,1.952246154,-0.0006,1.925907692,16.73848462,60.04843077,1.200738462,43.61267692,21.9119,3.583453846,-0.075653846,2.225599609,13.43790769,58.03393077,41.21747692,88.00984615,15.50572308,5.156430769,42.23704615,55.96504615,182.5728,154.2742857,153.0985714,152.71,152.15,151.63,151.2671429,150.7785714
0,0,0,0,0,8.319248219,68.69529823,3.151538462,-16.27769231,-7.960769231,-0.166923077,-1.622653245,7.795039063,14.48846154,1.952246154,-0.0006,1.925907692,16.73848462,60.04843077,1.200738462,0.000492308,21.9119,3.583453846,-0.075653846,2.225599609,13.43790769,58.03393077,93.3592,88.00984615,15.50572308,5.156430769,42.23704615,55.96504615,182.5728,120.4529231,153.0985714,152.71,152.15,151.63,151.2671429,150.7785714,150.2214286
0,0,0,0,8.319248219,68.69529823,137.0063453,-16.27769231,-7.960769231,-0.166923077,-1.622653245,7.795039063,14.48846154,22.00076923,-0.0006,1.925907692,16.73848462,60.04843077,1.200738462,0.000492308,0,3.583453846,-0.075653846,2.225599609,13.43790769,58.03393077,93.3592,136.2233154,15.50572308,5.156430769,42.23704615,55.96504615,182.5728,120.4529231,117.7575385,152.71,152.15,151.63,151.2671429,150.7785714,150.2214286,150.2514286
0,0,0,8.319248219,68.69529823,137.0063453,197.7919401,-7.960769231,-0.166923077,-1.622653245,7.795039063,14.48846154,22.00076923,23.15576923,1.925907692,16.73848462,60.04843077,1.200738462,0.000492308,0,0,-0.075653846,2.225599609,13.43790769,58.03393077,93.3592,136.2233154,155.1040692,5.156430769,42.23704615,55.96504615,182.5728,120.4529231,117.7575385,63.38609231,152.15,151.63,151.2671429,150.7785714,150.2214286,150.2514286,158.6542857
0,0,8.319248219,68.69529823,137.0063453,197.7919401,201.5548666,-0.166923077,-1.622653245,7.795039063,14.48846154,22.00076923,23.15576923,24.87,16.73848462,60.04843077,1.200738462,0.000492308,0,0,0,2.225599609,13.43790769,58.03393077,93.3592,136.2233154,155.1040692,108.2368231,42.23704615,55.96504615,182.5728,120.4529231,117.7575385,63.38609231,47.03975385,151.63,151.2671429,150.7785714,150.2214286,150.2514286,158.6542857,166.3828571
0,8.319248219,68.69529823,137.0063453,197.7919401,201.5548666,56.7043059,-1.622653245,7.795039063,14.48846154,22.00076923,23.15576923,24.87,17.96388522,60.04843077,1.200738462,0.000492308,0,0,0,0,13.43790769,58.03393077,93.3592,136.2233154,155.1040692,108.2368231,55.45773077,55.96504615,182.5728,120.4529231,117.7575385,63.38609231,47.03975385,12.09698462,151.2671429,150.7785714,150.2214286,150.2514286,158.6542857,166.3828571,158.1975
